_id,Fiscal_Year,Budget_Type,Organization_Entity,Command_Name,Pillar_Name,District_Name,Unit_Name,Feature_Category,Cost_Element,Cost_Element_Long_Name,Amount
82,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2199,Parts - miscellaneous,100000
83,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2135,Parts - tires/tubes,475000
84,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2181,Parts - vehicles,2144300
85,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2080,Photo / Video supplies,32000
86,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2010,Stationery and office supplies,65700
87,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2086,Traffic enforcement supplies,86100
88,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2670,Uniforms,5333300
89,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,5-Equipment,3991,Accommodation equipment,75000
90,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,5-Equipment,3420,Computers - software,25500
91,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,5-Equipment,3993,Firearms,367600
92,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,5-Equipment,3099,General equipment,273500
93,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,5-Equipment,3989,Marine equipment,46700
94,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,5-Equipment,3992,Printers,75000
95,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,5-Equipment,3986,Vehicle preparation,612100
96,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4097,3rd party claims,45000
97,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4230,Business travel - other expenses,12500
98,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4608,Clean/repair furniture,23000
